iter	Passed	Remaining
0	47	47907
1	48	24259
2	49	16364
3	49	12413
4	50	10038
5	51	8462
6	51	7336
7	52	6486
8	52	5825
9	53	5300
10	54	4867
11	54	4507
12	55	4200
13	55	3939
14	56	3712
15	57	3512
16	57	3339
17	58	3183
18	58	3044
19	59	2919
20	60	2806
21	60	2702
22	61	2607
23	61	2521
24	62	2441
25	63	2368
26	63	2300
27	64	2238
28	65	2178
29	65	2124
30	66	2073
31	66	2023
32	67	1978
33	68	1935
34	68	1894
35	69	1854
36	69	1818
37	70	1783
38	71	1750
39	71	1719
40	72	1697
41	73	1674
42	74	1650
43	74	1626
44	75	1601
45	76	1577
46	76	1555
47	77	1533
48	77	1512
49	78	1492
50	79	1473
51	79	1455
52	80	1437
53	81	1419
54	81	1403
55	82	1387
56	82	1371
57	83	1355
58	84	1340
59	84	1326
60	85	1312
61	85	1299
62	86	1285
63	87	1272
64	87	1260
65	88	1248
66	88	1237
67	89	1225
68	90	1214
69	90	1204
70	91	1194
71	91	1183
72	92	1174
73	93	1164
74	93	1154
75	94	1145
76	94	1136
77	95	1127
78	96	1121
79	96	1113
80	97	1104
81	97	1096
82	98	1085
83	98	1078
84	99	1071
85	100	1064
86	100	1057
87	101	1050
88	101	1043
89	102	1036
90	103	1030
91	103	1023
92	104	1017
93	104	1010
94	105	1004
95	106	998
96	106	992
97	107	986
98	107	980
99	108	975
100	109	970
101	109	964
102	110	959
103	110	954
104	111	949
105	111	944
106	112	939
107	113	934
108	113	929
109	114	924
110	114	920
111	115	915
112	116	910
113	116	906
114	117	902
115	117	897
116	118	892
117	118	888
118	119	884
119	120	880
120	120	876
121	121	871
122	121	867
123	122	863
124	122	859
125	123	856
126	123	851
127	124	848
128	125	844
129	125	841
130	126	837
131	126	834
132	127	831
133	128	827
134	128	824
135	129	821
136	129	817
137	130	814
138	130	811
139	131	808
140	132	805
141	132	800
142	133	797
143	133	794
144	134	792
145	134	789
146	135	786
147	136	783
148	136	780
149	137	777
150	137	775
151	138	772
152	139	769
153	139	766
154	140	764
155	140	761
156	141	758
157	141	756
158	142	753
159	143	751
160	143	747
161	144	745
162	144	742
163	145	740
164	145	737
165	146	735
166	146	732
167	147	730
168	148	728
169	148	725
170	149	723
171	149	721
172	150	719
173	151	716
174	151	714
175	152	712
176	152	710
177	153	708
178	153	706
179	154	703
180	155	701
181	155	699
182	156	697
183	156	695
184	157	693
185	158	691
186	158	689
187	159	687
188	159	685
189	160	683
190	160	681
191	161	679
192	162	677
193	162	676
194	163	674
195	163	672
196	164	670
197	165	668
198	165	666
199	166	664
200	166	662
201	167	661
202	167	659
203	168	657
204	169	655
205	169	654
206	170	652
207	170	650
208	171	648
209	172	647
210	172	645
211	173	643
212	173	642
213	174	640
214	174	638
215	175	637
216	176	635
217	176	633
218	177	632
219	177	630
220	178	629
221	179	627
222	179	625
223	180	624
224	180	622
225	181	621
226	181	619
227	182	618
228	183	616
229	183	615
230	184	613
231	184	612
232	185	610
233	186	609
234	186	607
235	187	606
236	187	604
237	188	603
238	189	602
239	189	600
240	190	599
241	190	597
242	191	596
243	192	594
244	192	593
245	193	592
246	193	590
247	194	589
248	194	587
249	195	586
250	196	585
251	196	583
252	197	582
253	197	581
254	198	579
255	199	578
256	199	577
257	200	576
258	200	574
259	201	573
260	202	572
261	202	570
262	203	569
263	203	568
264	204	566
265	204	565
266	205	564
267	206	563
268	206	561
269	207	560
270	207	559
271	208	558
272	209	556
273	209	555
274	210	554
275	210	553
276	211	551
277	212	550
278	212	549
279	213	548
280	213	547
281	214	545
282	214	544
283	215	543
284	216	542
285	216	541
286	217	539
287	217	538
288	218	537
289	219	536
290	219	535
291	220	533
292	220	532
293	221	531
294	222	530
295	222	529
296	223	528
297	223	527
298	224	526
299	224	524
300	225	523
301	226	522
302	226	521
303	227	520
304	227	519
305	228	518
306	229	517
307	229	516
308	230	514
309	230	513
310	231	512
311	232	511
312	232	510
313	233	509
314	233	508
315	234	507
316	234	506
317	235	505
318	236	504
319	236	503
320	237	501
321	237	500
322	238	499
323	239	498
324	239	497
325	240	496
326	240	495
327	241	494
328	242	493
329	242	492
330	243	491
331	243	490
332	244	489
333	244	488
334	245	487
335	246	486
336	246	485
337	247	484
338	247	483
339	248	482
340	248	481
341	249	480
342	250	479
343	250	478
344	251	477
345	251	476
346	252	475
347	253	474
348	253	473
349	254	472
350	254	471
351	255	470
352	255	469
353	256	468
354	257	467
355	257	466
356	258	465
357	258	464
358	259	463
359	260	462
360	260	461
361	261	460
362	261	459
363	262	458
364	262	457
365	263	456
366	264	455
367	264	454
368	265	453
369	265	452
370	266	451
371	267	450
372	267	449
373	268	448
374	268	448
375	269	447
376	269	446
377	270	445
378	271	444
379	271	443
380	272	442
381	272	441
382	273	440
383	274	439
384	274	438
385	275	437
386	275	436
